id,log2r10,log2r20,log2r30,log2r40,log2r50,log2r60,TF,ethylene,auxin,cellwall,ATP
AT2G10940,0.395105755141,0.156686221405,-0.315103124452,-0.796718043274,-0.668568441096,-0.570995937158,0,0,0,0,4
AT2G12190,0.0306864779925,-0.0586308726658,-0.470751406702,-0.744191642202,-0.579368467753,-0.654018352806,0,0,0,0,6
AT2G12462,0.388928635497,-0.0264992586731,0.0795941963098,0.473475233249,0.456306702435,0.706142065842,0,0,0,0,6
AT2G13360,-0.00518933584633,0.427663288079,0.204783472684,0.234386558062,1.00042873908,1.9765301462,0,0,0,0,5
AT2G13547,-0.518741330231,-0.587473454256,-1.66838543923,-0.418340100774,0.195172423522,0.0988017988477,0,0,0,0,2
AT2G13610,-0.0969872674597,-0.0640153286558,0.224315587639,-0.915496043504,-0.656466835914,-0.608351367828,0,0,0,0,4
AT2G13790,-0.114173718552,-0.255555531368,-0.0833064786702,-0.162562132038,0.168754954235,0.646588871382,0,0,0,0,6
AT2G14115,-0.407130223386,-0.682981731909,-1.1815499914,-0.775322808334,-0.808291815049,-1.00234337426,0,0,0,0,3
AT2G14170,-0.0559007646209,-0.0923937031013,0.097874593938,0.0673314554048,0.111781146879,0.621009611334,0,0,0,0,6
AT2G14210,-0.269637968668,-1.18307141014,0.0698090129998,0.988105387509,1.5145280456,2.25921239563,1,0,0,0,6
AT2G14860,-0.0352605440127,-0.0468203848251,0.0768629628567,-0.260184297193,-0.20231165495,-0.668797410582,0,0,0,0,6
AT2G14920,0.0403542409081,-0.022041907093,0.802566490571,1.12511735841,0.79386110237,1.34132470992,0,0,0,0,4
AT2G15292,-0.808631435504,-1.42261520974,-1.48669785624,-1.57515233714,-1.48792687728,-1.27544555522,0,0,0,0,1
AT2G15320,0.266459497195,0.264232489752,0.257867240141,0.761809873453,0.679748506281,1.02031978962,0,0,0,0,4
AT2G15370,0.0520000511597,-0.183223240096,0.144096961707,-0.859844998762,-0.914463591728,-1.82782242312,0,0,0,1,6
AT2G15695,-0.0554743766529,-0.0817123998735,-0.0561723212332,-0.134153502148,0.226564985383,0.828584964768,0,0,0,0,6
AT2G15760,0.373734557372,0.733268120533,1.16492791954,2.05925902965,1.9820568343,1.90739582939,0,0,0,0,4
AT2G15790,-0.392289338579,-1.22967335968,-1.05780720517,-0.909242966712,-0.738721822206,-0.744192492912,0,0,0,0,2
AT2G15830,-0.187886462051,0.330853489243,0.668393814062,1.22936986418,1.1086871916,0.981874373311,0,0,0,0,3
AT2G15880,-0.269500987184,0.0445587654921,-0.279749377756,-0.228681912829,0.347725012833,1.26048212658,0,0,0,1,6
AT2G15890,-0.272030285803,-0.168656268554,-0.0343644545635,0.0400525638154,0.369425794246,0.67356347207,0,0,0,0,6
AT2G15960,-0.357250583086,-0.257473222036,0.0982924281997,0.791026637505,1.08838957949,1.85154584751,0,0,0,0,6
AT2G15970,-0.20264997079,-0.339705946692,-0.321224219469,-0.280055930188,-0.842458028107,-1.01683355032,0,0,0,0,5
AT2G16005,-0.16470452027,-0.392383478407,-0.499749627395,-0.140727717867,-0.876037328734,-1.98523686547,0,0,0,0,5
AT2G16050,0.283171431731,0.391088006524,0.244688016683,0.184957714632,0.561539666075,0.649166308073,0,0,0,0,6
AT2G16060,0.156452352584,-0.542496497348,0.312717400453,1.9444026854,1.84419052397,1.4774127062,0,0,0,0,4
AT2G16280,0.0732551128333,-0.0476226993045,-0.375965671546,-1.01215882537,-0.781992238675,-0.842879856396,0,0,0,0,4
AT2G16500,0.279832925128,0.368998571128,0.593497145719,0.542225076579,0.433043421998,0.0630442560726,0,0,0,0,3
AT2G16580,-0.503579148947,-0.985501885971,-1.26942142456,-1.58633147514,-1.77281393638,-1.72833992902,0,0,0,0,2
AT2G16630,0.342251338033,-0.0506992869582,-0.171624545766,-1.1485164796,-0.829397763855,-0.538217782735,0,0,0,0,4
AT2G16660,-0.00803141383404,0.325106548195,0.815135853145,0.364986294185,0.447975658856,-0.203336290798,0,0,0,0,3
AT2G16740,0.051872423993,0.0664214271582,0.0425539897557,0.60561843149,0.749490091153,0.731612012162,0,0,0,0,4
AT2G16760,0.124455154548,-0.226753715394,-0.193064034129,-0.721122855796,-1.40921708597,-1.56942390382,0,0,0,0,5
AT2G16850,0.0737335350697,-0.0427457384686,0.0187530138971,-0.18875388553,-0.230086384434,-0.802536252349,0,0,0,0,6
AT2G17280,0.28126326743,-0.0317450150602,0.14033906447,0.476091304997,-0.249524078256,-0.870239803542,0,0,0,0,6
AT2G17500,-0.0365857163968,-0.183673138601,-0.260034635874,-0.974099509578,-0.901749397265,-0.809119697421,0,0,1,0,4
AT2G17660,0.097992956689,-1.14519207653,-1.11198654298,-1.31249177073,-2.65362319896,-2.4722061389,0,0,0,0,5
AT2G17710,-0.0170667176866,0.10792021422,0.036316734311,0.390419307861,0.426621985899,0.684114049823,0,0,0,0,6
AT2G17840,0.0977152434954,-0.364435944124,-0.3394474049,-0.435484763573,-0.68982973784,-0.547967831198,0,0,0,0,5
AT2G17850,-0.307391877761,-1.22202673816,0.434369008758,1.42222548383,1.62011443835,0.975245993596,0,0,0,0,5
AT2G17880,0.460483912863,0.588398901211,1.04948339675,2.39222595773,2.2817312666,2.9915187236,0,0,0,0,3
AT2G18010,-0.409827520601,-1.73931367276,-0.970036009829,-1.2117908859,-1.05387728226,-0.468477156021,0,0,0,0,2
AT2G18196,0.0490390249014,0.349460385405,0.320106704671,0.520893172892,0.664567672964,0.642587626889,0,0,0,0,5
AT2G18210,0.320975586124,-0.0529072016291,-0.35975633684,-0.957791963618,-1.19219623153,-2.17211343599,0,0,0,0,4
AT2G18350,-0.1587780963,0.0283223478097,0.458309440145,0.344591410117,0.556156910771,0.695929830841,1,0,0,0,6
AT2G18690,-0.0559570104738,0.111407476611,1.08843076315,2.37493475984,2.14423203576,2.38098515479,0,0,0,0,3
AT2G18735,-1.14663048068,-1.45224415827,-1.7039582456,-1.78615087131,-1.33685705039,-1.5427851729,0,0,0,0,1
